#----------------------------------------------------------------------------------------------------------------------------
#                                                    Scaled Flux Density (erg/s/cm^2/A)
#                      ======================================================================================================
# Wavelength (A)        30 Myr       300 Myr      500 Myr      700 Myr      1 Gyr       1.25 Gyr     2.25 Gyr      13 Gyr
#----------------------------------------------------------------------------------------------------------------------------
  3459.5500488281     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3460.3400878906     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3461.1398925781     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3461.9399414062     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3462.7299804688     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3463.5300292969     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3464.3300781250     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3465.1298828125     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3465.9199218750     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3466.7199707031     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3467.5200195312     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3468.3200683594     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3469.1201171875     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3469.9199218750     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3470.7199707031     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3471.5200195312     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3472.3100585938     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3473.1101074219     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3473.9099121094     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3474.7099609375     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3475.5100097656     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3476.3100585938     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3477.1201171875     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3477.9199218750     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3478.7199707031     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3479.5200195312     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3480.3200683594     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3481.1201171875     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3481.9199218750     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3482.7199707031     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3483.5300292969     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3484.3300781250     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3485.1298828125     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3485.9299316406     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3486.7399902344     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3487.5400390625     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3488.3400878906     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3489.1499023438     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3489.9499511719     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3490.7500000000     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3491.5600585938     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3492.3601074219     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3493.1699218750     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3493.9699707031     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3494.7700195312     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3495.5800781250     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3496.3798828125     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3497.1899414062     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3497.9899902344     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3498.8000488281     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3499.6101074219     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3500.4099121094     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3501.2199707031     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3502.0200195312     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3502.8300781250     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3503.6398925781     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3504.4399414062     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3505.2500000000     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3506.0600585938     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3506.8701171875     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3507.6699218750     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3508.4799804688     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3509.2900390625     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3510.1000976562     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3510.9099121094     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3511.7099609375     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3512.5200195312     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3513.3300781250     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3514.1398925781     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3514.9499511719     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3515.7600097656     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3516.5700683594     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3517.3798828125     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3518.1899414062     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3519.0000000000     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3519.8100585938     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3520.6201171875     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3521.4299316406     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3522.2399902344     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3523.0500488281     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3523.8601074219     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3524.6799316406     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3525.4899902344     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3526.3000488281     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3527.1101074219     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3527.9199218750     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3528.7399902344     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3529.5500488281     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3530.3601074219     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3531.1699218750     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3531.9899902344     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3532.8000488281     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3533.6101074219     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3534.4299316406     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3535.2399902344     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3536.0600585938     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3536.8701171875     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3537.6799316406     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3538.5000000000     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3539.3100585938     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3540.1298828125     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3540.9399414062     2.40427E+00  1.37256E+00  1.09626E+00  9.30825E-01  7.69713E-01  6.34490E-01  4.77605E-01  2.87654E-01
  3541.7600097656     2.40543E+00  1.36952E+00  1.08881E+00  9.23282E-01  7.63072E-01  6.25126E-01  4.69951E-01  2.76253E-01
  3542.5800781250     2.40992E+00  1.37136E+00  1.09350E+00  9.27680E-01  7.70079E-01  6.29605E-01  4.75422E-01  2.77149E-01
  3543.3898925781     2.40890E+00  1.37565E+00  1.10441E+00  9.38893E-01  7.84436E-01  6.42819E-01  4.87935E-01  2.88600E-01
  3544.2099609375     2.40732E+00  1.37917E+00  1.11098E+00  9.45895E-01  7.93682E-01  6.53370E-01  4.97546E-01  3.00993E-01
  3545.0200195312     2.41278E+00  1.38476E+00  1.11424E+00  9.47359E-01  7.96102E-01  6.56023E-01  4.99936E-01  3.06957E-01
  3545.8400878906     2.42522E+00  1.39484E+00  1.12708E+00  9.54554E-01  7.99442E-01  6.57418E-01  4.98673E-01  3.05467E-01
  3546.6599121094     2.43744E+00  1.39912E+00  1.13347E+00  9.60023E-01  7.99869E-01  6.55429E-01  4.93168E-01  2.97613E-01
  3547.4699707031     2.44637E+00  1.40039E+00  1.13445E+00  9.58785E-01  7.97878E-01  6.50260E-01  4.87387E-01  2.88047E-01
  3548.2900390625     2.45473E+00  1.40407E+00  1.13755E+00  9.60491E-01  8.03691E-01  6.52982E-01  4.90134E-01  2.85531E-01
  3549.1101074219     2.45996E+00  1.40781E+00  1.14463E+00  9.68783E-01  8.17812E-01  6.64298E-01  4.98843E-01  2.90208E-01
  3549.9199218750     2.45872E+00  1.40990E+00  1.15006E+00  9.76155E-01  8.28895E-01  6.73299E-01  5.04122E-01  2.94273E-01
  3550.7399902344     2.45193E+00  1.40917E+00  1.14776E+00  9.73979E-01  8.27545E-01  6.71257E-01  5.00313E-01  2.92069E-01
  3551.5600585938     2.44199E+00  1.40497E+00  1.13721E+00  9.60790E-01  8.13516E-01  6.58631E-01  4.88410E-01  2.83769E-01
  3552.3798828125     2.42848E+00  1.39838E+00  1.12339E+00  9.42631E-01  7.92865E-01  6.41212E-01  4.72187E-01  2.71470E-01
  3553.1999511719     2.41252E+00  1.39041E+00  1.11027E+00  9.26681E-01  7.72418E-01  6.23055E-01  4.55519E-01  2.56039E-01
  3554.0100097656     2.39736E+00  1.38616E+00  1.10270E+00  9.19140E-01  7.62834E-01  6.12453E-01  4.47530E-01  2.42979E-01
  3554.8300781250     2.39447E+00  1.38811E+00  1.10604E+00  9.25540E-01  7.72584E-01  6.20396E-01  4.58641E-01  2.44936E-01
  3555.6499023438     2.40439E+00  1.39019E+00  1.11089E+00  9.34146E-01  7.87715E-01  6.35124E-01  4.74562E-01  2.57188E-01
  3556.4699707031     2.41532E+00  1.38792E+00  1.11063E+00  9.34988E-01  7.93674E-01  6.41758E-01  4.80899E-01  2.64290E-01
  3557.2900390625     2.42407E+00  1.38322E+00  1.10818E+00  9.31620E-01  7.89954E-01  6.38814E-01  4.76309E-01  2.60379E-01
  3558.1101074219     2.43444E+00  1.38046E+00  1.10700E+00  9.29718E-01  7.82058E-01  6.31561E-01  4.67272E-01  2.50703E-01
  3558.9299316406     2.44380E+00  1.38323E+00  1.10963E+00  9.31357E-01  7.76499E-01  6.26301E-01  4.61299E-01  2.45087E-01
  3559.7500000000     2.44448E+00  1.38909E+00  1.11512E+00  9.34906E-01  7.75810E-01  6.25085E-01  4.61061E-01  2.48498E-01
  3560.5700683594     2.43579E+00  1.39396E+00  1.12125E+00  9.39386E-01  7.80014E-01  6.27722E-01  4.66502E-01  2.58679E-01
  3561.3898925781     2.42947E+00  1.39951E+00  1.12923E+00  9.47912E-01  7.91052E-01  6.37172E-01  4.79240E-01  2.71267E-01
  3562.2099609375     2.43509E+00  1.40884E+00  1.14149E+00  9.63313E-01  8.10156E-01  6.57111E-01  4.98088E-01  2.84277E-01
  3563.0300292969     2.44114E+00  1.41023E+00  1.14405E+00  9.70966E-01  8.20217E-01  6.71546E-01  5.04069E-01  2.88925E-01
  3563.8500976562     2.42542E+00  1.38316E+00  1.10807E+00  9.36879E-01  7.84688E-01  6.43689E-01  4.67296E-01  2.64665E-01
  3564.6699218750     2.39866E+00  1.34290E+00  1.05193E+00  8.74061E-01  7.18729E-01  5.84481E-01  4.11435E-01  2.21682E-01
  3565.4899902344     2.37776E+00  1.31829E+00  1.01467E+00  8.26677E-01  6.68742E-01  5.37088E-01  3.75848E-01  1.87268E-01
  3566.3100585938     2.37305E+00  1.32124E+00  1.01564E+00  8.21588E-01  6.61573E-01  5.27814E-01  3.74898E-01  1.78522E-01
  3567.1298828125     2.37991E+00  1.33547E+00  1.03451E+00  8.40625E-01  6.78857E-01  5.42273E-01  3.89627E-01  1.87319E-01
  3567.9499511719     2.38354E+00  1.33945E+00  1.04092E+00  8.49154E-01  6.85561E-01  5.49046E-01  3.93049E-01  1.93350E-01
  3568.7700195312     2.37798E+00  1.32681E+00  1.02522E+00  8.34116E-01  6.68062E-01  5.34235E-01  3.77119E-01  1.84660E-01
  3569.6000976562     2.37002E+00  1.30842E+00  1.00208E+00  8.10745E-01  6.42485E-01  5.11686E-01  3.56768E-01  1.67070E-01
  3570.4199218750     2.36591E+00  1.29880E+00  9.90744E-01  8.01023E-01  6.32471E-01  5.04104E-01  3.51668E-01  1.56736E-01
  3571.2399902344     2.36207E+00  1.30166E+00  9.95435E-01  8.10526E-01  6.43005E-01  5.16642E-01  3.65627E-01  1.63940E-01
  3572.0600585938     2.36450E+00  1.31281E+00  1.01322E+00  8.30137E-01  6.66668E-01  5.40920E-01  3.90978E-01  1.91984E-01
  3572.8898925781     2.35910E+00  1.32281E+00  1.02938E+00  8.44981E-01  6.83808E-01  5.55743E-01  4.08394E-01  2.20429E-01
  3573.7099609375     2.36016E+00  1.33078E+00  1.04493E+00  8.58258E-01  6.97765E-01  5.65014E-01  4.14663E-01  2.32340E-01
  3574.5300292969     2.36313E+00  1.33279E+00  1.05156E+00  8.65563E-01  7.06746E-01  5.71122E-01  4.17497E-01  2.35061E-01
  3575.3500976562     2.35205E+00  1.33232E+00  1.05125E+00  8.69499E-01  7.14749E-01  5.77966E-01  4.25390E-01  2.39517E-01
  3576.1799316406     2.34028E+00  1.33151E+00  1.04973E+00  8.73048E-01  7.22219E-01  5.85219E-01  4.34243E-01  2.42658E-01
  3577.0000000000     2.33289E+00  1.33027E+00  1.04887E+00  8.74544E-01  7.24795E-01  5.87664E-01  4.34027E-01  2.34547E-01
  3577.8200683594     2.33086E+00  1.32940E+00  1.04919E+00  8.74244E-01  7.22490E-01  5.83757E-01  4.23335E-01  2.13138E-01
  3578.6499023438     2.33323E+00  1.32767E+00  1.04787E+00  8.71539E-01  7.16564E-01  5.75791E-01  4.07008E-01  1.86318E-01
  3579.4699707031     2.33578E+00  1.31972E+00  1.03609E+00  8.58589E-01  7.00127E-01  5.59559E-01  3.83528E-01  1.61161E-01
  3580.3000488281     2.33392E+00  1.30262E+00  1.00865E+00  8.28303E-01  6.63979E-01  5.25265E-01  3.46618E-01  1.37029E-01
  3581.1201171875     2.33095E+00  1.28764E+00  9.84874E-01  7.99204E-01  6.25272E-01  4.86068E-01  3.12772E-01  1.18965E-01
  3581.9499511719     2.33995E+00  1.29634E+00  9.97582E-01  8.07594E-01  6.28062E-01  4.85850E-01  3.20318E-01  1.23326E-01
  3582.7700195312     2.35443E+00  1.31315E+00  1.02722E+00  8.39495E-01  6.69173E-01  5.26606E-01  3.62166E-01  1.48407E-01
  3583.6000976562     2.33955E+00  1.29284E+00  1.00772E+00  8.22578E-01  6.67442E-01  5.31067E-01  3.68995E-01  1.59649E-01
  3584.4199218750     2.29790E+00  1.25478E+00  9.53933E-01  7.64821E-01  6.15964E-01  4.88098E-01  3.37128E-01  1.48785E-01
  3585.2500000000     2.25860E+00  1.23372E+00  9.18233E-01  7.21721E-01  5.67794E-01  4.45954E-01  3.06185E-01  1.32967E-01
  3586.0700683594     2.23967E+00  1.24050E+00  9.20817E-01  7.18553E-01  5.55922E-01  4.34285E-01  2.98719E-01  1.28734E-01
  3586.8999023438     2.24390E+00  1.26345E+00  9.45774E-01  7.41444E-01  5.74105E-01  4.48217E-01  3.11147E-01  1.38063E-01
  3587.7199707031     2.26285E+00  1.28683E+00  9.71862E-01  7.68382E-01  6.00148E-01  4.70547E-01  3.31356E-01  1.54099E-01
  3588.5500488281     2.28590E+00  1.30390E+00  9.91503E-01  7.90539E-01  6.21227E-01  4.91119E-01  3.52962E-01  1.71350E-01
  3589.3798828125     2.30883E+00  1.31926E+00  1.01247E+00  8.15893E-01  6.45291E-01  5.15645E-01  3.80361E-01  1.93120E-01
  3590.1999511719     2.33197E+00  1.34025E+00  1.04544E+00  8.56340E-01  6.89211E-01  5.57740E-01  4.20906E-01  2.27299E-01
  3591.0300292969     2.34685E+00  1.36238E+00  1.08394E+00  9.04741E-01  7.47818E-01  6.13058E-01  4.65543E-01  2.67915E-01
  3591.8601074219     2.34556E+00  1.36736E+00  1.09702E+00  9.25644E-01  7.78866E-01  6.43450E-01  4.82598E-01  2.84971E-01
  3592.6799316406     2.34043E+00  1.35501E+00  1.07896E+00  9.07933E-01  7.59422E-01  6.27919E-01  4.63405E-01  2.62624E-01
  3593.5100097656     2.34174E+00  1.35071E+00  1.07164E+00  8.96852E-01  7.40737E-01  6.10107E-01  4.49173E-01  2.39889E-01
  3594.3400878906     2.34763E+00  1.36042E+00  1.08596E+00  9.10263E-01  7.54359E-01  6.20157E-01  4.61237E-01  2.49651E-01
  3595.1699218750     2.35496E+00  1.37545E+00  1.10618E+00  9.33222E-01  7.82483E-01  6.46292E-01  4.88462E-01  2.82666E-01
  3596.0000000000     2.36292E+00  1.39018E+00  1.12461E+00  9.55338E-01  8.08547E-01  6.73375E-01  5.15627E-01  3.15330E-01
  3596.8200683594     2.36905E+00  1.40163E+00  1.13736E+00  9.70372E-01  8.23472E-01  6.90568E-01  5.30765E-01  3.30569E-01
  3597.6499023438     2.37164E+00  1.40811E+00  1.14360E+00  9.77982E-01  8.28137E-01  6.96238E-01  5.32799E-01  3.30164E-01
  3598.4799804688     2.37292E+00  1.41025E+00  1.14603E+00  9.82500E-01  8.31007E-01  6.98453E-01  5.32166E-01  3.29576E-01
  3599.3100585938     2.37426E+00  1.40951E+00  1.14687E+00  9.85919E-01  8.36893E-01  7.04906E-01  5.38840E-01  3.40769E-01
  3600.1398925781     2.36989E+00  1.40357E+00  1.14155E+00  9.81388E-01  8.36582E-01  7.08503E-01  5.45301E-01  3.55400E-01
  3600.9699707031     2.35114E+00  1.38578E+00  1.11994E+00  9.57338E-01  8.13022E-01  6.89068E-01  5.28437E-01  3.48730E-01
